,acc,aug,drop,f1,gan,neurons,prec,rec
0,0.6224,0,0,0.6259,75,0,0.6559,0.6224
1,0.7089,0,0,0.7119,50,0,0.7241,0.7089
2,0.6713,0,0,0.6746,25,0,0.6853,0.6713
3,0.5899,50,0,0.594,0,0,0.6198,0.5899
4,0.6311,0,25,0.633,0,0,0.6358,0.6311
5,0.6899,0,0,0.6931,125,0,0.721,0.6899
6,0.6345,50,25,0.6367,0,0,0.6403,0.6345
7,0.5599,0,50,0.5623,0,100,0.6016,0.5599
8,0.632,0,25,0.6356,125,0,0.6451,0.632
9,0.8194,25,25,0.8211,150,0,0.8293,0.8194
10,0.6334,0,0,0.636,0,200,0.6406,0.6334
11,0.7677,25,25,0.7701,75,0,0.7824,0.7677
12,0.5789,25,0,0.5835,0,0,0.6021,0.5789
13,0.593,0,25,0.5972,0,100,0.6079,0.593
14,0.6232,0,0,0.6256,150,0,0.6296,0.6232
15,0.8349,25,25,0.8354,125,0,0.8363,0.8349
16,0.5613,0,50,0.5656,0,0,0.5749,0.5613
17,0.6521,0,0,0.6545,100,0,0.6592,0.6521
18,0.5789,25,0,0.5835,0,0,0.6021,0.5789
19,0.6029,0,50,0.6073,0,200,0.6257,0.6029
20,0.5921,0,0,0.5966,0,0,0.6154,0.5921
21,0.6091,25,25,0.6134,0,0,0.6335,0.6091
22,0.5373,0,0,0.5399,0,100,0.5774,0.5373
23,0.764,25,25,0.7664,100,0,0.7953,0.764
24,0.5616,0,25,0.5664,0,200,0.5865,0.5616
25,0.6741,0,25,0.6737,25,0,0.6734,0.6741
26,0.6789,0,25,0.6808,50,0,0.6841,0.6789
27,0.7281,0,25,0.7305,75,0,0.7372,0.7281
28,0.6295,0,25,0.6335,100,0,0.6546,0.6295
29,0.6605,0,25,0.6642,125,0,0.6774,0.6605
30,0.6608,0,25,0.6638,150,0,0.6706,0.6608
